expression,reading,meaning,tags
掌,てのひら,the palm,JLPT N1
手配,てはい,"arrangement, search (by police)",JLPT N1
手筈,てはず,"arrangement, plan, program",JLPT N1
手引,てびき,"guidance, guide, introduction",JLPT N1
手本,てほん,"model, pattern",JLPT N1
手回し,てまわし,"preparations, arrangements",JLPT N1
手元,てもと,"(money) on hand or at home, one's purse; usual skill",JLPT N1
デモンストレーション,デモンストレーション,demonstration,JLPT N1
照り返す,てりかえす,"to reflect, to throw back light",JLPT N1
テレックス,テレックス,"telex, teletypewriter exchange",JLPT N1
手分け,てわけ,division of labor,JLPT N1
天,てん,"heaven, sky",JLPT N1
田園,でんえん,"country, rural districts",JLPT N1
天下,てんか,"the world, whole country",JLPT N1
転回,てんかい,"revolution, rotation",JLPT N1
連休,れんきゅう,consecutive holidays,JLPT N1
レンジ,レンジ,"range, stove",JLPT N1
連日,れんじつ,every day,JLPT N1
連帯,れんたい,solidarity,JLPT N1
レンタカー,レンタカー,rented car,JLPT N1
連中,れんちゅう,"colleagues, company, a lot",JLPT N1
レントゲン,レントゲン,X-ray (lit: Roentgen),JLPT N1
連邦,れんぽう,"commonwealth, federation of states",JLPT N1
連盟,れんめい,"league, union, alliance",JLPT N1
老衰,ろうすい,"senility, senile decay",JLPT N1
朗読,ろうどく,"reading aloud, recitation",JLPT N1
浪費,ろうひ,"waste, extravagance",JLPT N1
労力,ろうりょく,"labor, effort, trouble",JLPT N1
ロープウエイ,ロープウエイ,"ropeway, aerial tram",JLPT N1
ロープ,ロープ,rope,JLPT N1
ろくな,ろくな,"satisfactory, decent",JLPT N1
露骨,ろこつ,"blunt, outspoken; conspicuous; broad, suggestive",JLPT N1
ロマンチック,ロマンチック,romantic,JLPT N1
論議,ろんぎ,discussion,JLPT N1
論理,ろんり,logic,JLPT N1
惑星,わくせい,planet,JLPT N1
技,わざ,"art, technique",JLPT N1
わざわざ,わざわざ,"take the trouble (to do), doing something especially rather than incidentally",JLPT N1
煩わしい,わずらわしい,"burdensome, troublesome, complicated",JLPT N1
渡り鳥,わたりどり,"migratory bird, bird of passage",JLPT N1
ワット,ワット,watt,JLPT N1
詫び,わび,apology,JLPT N1
和文,わぶん,"Japanese text, sentence in Japanese",JLPT N1
藁,わら,straw,JLPT N1
～割,～わり,~ percent,JLPT N1
割当,わりあて,"allotment, allocation, quota",JLPT N1
割込む,わりこむ,"to cut in, to disturb",JLPT N1
悪者,わるもの,"bad fellow, rascal",JLPT N1
捗る,はかどる,"to make progress, to move right ahead (with the work), to advance",JLPT N1
はかない,はかない,"short-lived, momentary, ephemeral",JLPT N1
ばかばかしい,ばかばかしい,stupid,JLPT N1
破棄,はき,"revocation, annulment, breaking (e.g., treaty)",JLPT N1
剥ぐ,はぐ,"to tear off, to peel off, to rip off",JLPT N1
迫害,はくがい,persecution,JLPT N1
薄弱,はくじゃく,"feebleness, weakness, weak",JLPT N1
白状,はくじょう,confession,JLPT N1
漠然,ばくぜん,"obscure, vague, equivocal",JLPT N1
爆弾,ばくだん,bomb,JLPT N1
爆破,ばくは,"blast, explosion, blow up",JLPT N1
暴露,ばくろ,"disclosure, exposure, revelation",JLPT N1
励ます,はげます,"to encourage, to cheer, to raise (the voice)",JLPT N1
励む,はげむ,"to be zealous, to make an effort",JLPT N1
剥げる,はげる,"to come off, to be worn off, to fade, to discolor",JLPT N1
化ける,ばける,"to disguise, to take the form of",JLPT N1
派遣,はけん,"dispatch, send",JLPT N1
恥,はじ,"shame, embarrassment",JLPT N1
弾く,はじく,"to play (piano, guitar)",JLPT N1
パジャマ,パジャマ,pajamas,JLPT N1
恥じらう,はじらう,"to feel shy, to be bashful, to blush",JLPT N1
恥じる,はじる,to feel ashamed,JLPT N1
橋渡し,はしわたし,"bridge building', mediation",JLPT N1
弾む,はずむ,"to bounce, to be encouraged, to splurge on",JLPT N1
破損,はそん,damage,JLPT N1
叩く,はたく,"to strike, to clap, to dust, to beat",JLPT N1
裸足,はだし,barefoot,JLPT N1
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",JLPT N1
蜂蜜,はちみつ,honey,JLPT N1
パチンコ,パチンコ,pachinko (Japanese pinball),JLPT N1
罰,ばつ,"punishment, penalty",JLPT N1
発育,はついく,"(physical) growth, development",JLPT N1
発芽,はつが,germination,JLPT N1
発掘,はっくつ,"excavation, exhumation; discovery (e.g., new talent)",JLPT N1
発言,はつげん,"utterance, speech, proposal",JLPT N1
バッジ,バッジ,badge,JLPT N1
発生,はっせい,"outbreak, spring forth, occurrence",JLPT N1
仕立てる,したてる,"to tailor, to make, to prepare",JLPT N1
下取り,したどり,"trade in, part exchange",JLPT N1
下火,したび,"burning low, waning, declining",JLPT N1
実,じつ,"fruit, good result",JLPT N1
実家,じっか,(one's parents') home,JLPT N1
失格,しっかく,"disqualification, elimination, incapacity (legal)",JLPT N1
質疑,しつぎ,question,JLPT N1
失脚,しっきゃく,"losing one's standing, being overthrown, falling",JLPT N1
実業家,じつぎょうか,"industrialist, businessman",JLPT N1
シック,シック,chic,JLPT N1
じっくり,じっくり,"deliberately, carefully",JLPT N1
躾,しつけ,"discipline, training",JLPT N1
躾ける,しつける,"to discipline, to teach manners",JLPT N1
実践,じっせん,"practice, put into practice",JLPT N1
質素,しっそ,"simplicity, modesty, frugality",JLPT N1
実態,じったい,"truth, fact",JLPT N1
失調,しっちょう,"lack of harmony, imbalance",JLPT N1
嫉妬,しっと,jealousy,JLPT N1
実費,じっぴ,"actual expense, cost price",JLPT N1
指摘,してき,"pointing out, identification",JLPT N1
自転,じてん,"rotation, spin",JLPT N1
助動詞,じょどうし,auxiliary verb,JLPT N1
淑やか,しとやか,graceful,JLPT N1
萎びる,しなびる,"to shrivel, to fade",JLPT N1
シナリオ,シナリオ,scenario,JLPT N1
しなやか,しなやか,"supple, flexible, elastic",JLPT N1
屎尿,しにょう,human waste,JLPT N1
地主,じぬし,landlord,JLPT N1
凌ぐ,しのぐ,"to outdo, to surpass; to endure",JLPT N1
芝,しば,lawn,JLPT N1
始発,しはつ,first train,JLPT N1
耳鼻科,じびか,otolaryngology,JLPT N1
私物,しぶつ,"private property, personal effects",JLPT N1
しぶとい,しぶとい,"tenacious, stubborn",JLPT N1
司法,しほう,administration of justice,JLPT N1
始末,しまつ,disposal; cleaning up afterwards,JLPT N1
染みる,しみる,to soak; pierce,JLPT N1
使命,しめい,"mission, errand, message",JLPT N1
地元,じもと,local,JLPT N1
視野,しや,"field of vision, outlook",JLPT N1
弱,じゃく,"delicate, supple",JLPT N1
社交,しゃこう,social life,JLPT N1
ジャズ,ジャズ,jazz,JLPT N1
謝絶,しゃぜつ,refusal,JLPT N1
社宅,しゃたく,company owned house,JLPT N1
若干,じゃっかん,"some, few, number of",JLPT N1
三味線,しゃみせん,three-stringed Japanese guitar,JLPT N1
斜面,しゃめん,"slope, slanting surface, bevel",JLPT N1
砂利,じゃり,"gravel, ballast, pebbles",JLPT N1
洒落る,しゃれる,"to joke, to play on words; stylish",JLPT N1
ジャンパー,ジャンパー,"jacket, jumper",JLPT N1
ジャンプ,ジャンプ,jump,JLPT N1
ジャンボ,ジャンボ,jumbo,JLPT N1
ジャンル,ジャンル,genre,JLPT N1
種,しゅ,seed; variety,JLPT N1
私有,しゆう,private ownership,JLPT N1
～宗,～しゅう,sect,JLPT N1
収益,しゅうえき,"earnings, proceeds, returns",JLPT N1
修学,しゅうがく,learning,JLPT N1
周期,しゅうき,"cycle, period",JLPT N1
衆議院,しゅうぎいん,"Lower House, House of Representatives",JLPT N1
就業,しゅうぎょう,"employment, starting work",JLPT N1
従業員,じゅうぎょういん,"employee, worker",JLPT N1
集計,しゅうけい,"totalization, aggregate",JLPT N1
襲撃,しゅうげき,"attack, charge, raid",JLPT N1
収支,しゅうし,income and expenditure,JLPT N1
終始,しゅうし,from beginning to end; consistent(ly),JLPT N1
修士,しゅうし,Masters degree program,JLPT N1
従事,じゅうじ,"engaging, pursuing, following",JLPT N1
終日,しゅうじつ,all day,JLPT N1
充実,じゅうじつ,"fullness, perfection",JLPT N1
収集,しゅうしゅう,"gathering up, collection",JLPT N1
十字路,じゅうじろ,crossroads,JLPT N1
執着,しゅうじゃく,"attachment, adhesion, tenacity",JLPT N1
柔軟,じゅうなん,flexible,JLPT N1
収容,しゅうよう,accommodation; seating; custody,JLPT N1
従来,じゅうらい,"up to now, so far, traditional",JLPT N1
守衛,しゅえい,"security guard, doorkeeper",JLPT N1
主演,しゅえん,"starring, playing the leading part",JLPT N1
主観,しゅかん,"subjectivity, subject, ego",JLPT N1
修行,しゅぎょう,"pursuit of knowledge, training, ascetic practice",JLPT N1
塾,じゅく,after-school (cram) school,JLPT N1
祝賀,しゅくが,"celebration, congratulations",JLPT N1
宿命,しゅくめい,"fate, destiny, predestination",JLPT N1
手芸,しゅげい,handicrafts,JLPT N1
主権,しゅけん,sovereignty,JLPT N1
主催,しゅさい,"organization, sponsorship, to host",JLPT N1
取材,しゅざい,"coverage, collecting data",JLPT N1
趣旨,しゅし,"object, meaning",JLPT N1
種々,しゅじゅ,variety,JLPT N1
主食,しゅしょく,staple food,JLPT N1
主人公,しゅじんこう,protagonist,JLPT N1
主体,しゅたい,"subject, main constituent",JLPT N1
主題,しゅだい,"subject, theme, motif",JLPT N1
出演,しゅつえん,"leading performer, stage appearance",JLPT N1
出血,しゅっけつ,bleeding,JLPT N1
出現,しゅつげん,"appearance, arrival",JLPT N1
出産,しゅっさん,childbirth,JLPT N1
出社,しゅっしゃ,come to work,JLPT N1
出生,しゅっしょう,birth,JLPT N1
微量,びりょう,"minuscule amount, extremely small quantity",JLPT N1
昼飯,ひるめし,lunch (mid-day meal),JLPT N1
比例,ひれい,proportion,JLPT N1
疲労,ひろう,"fatigue, weariness",JLPT N1
敏感,びんかん,"sensibility, susceptibility, sensitive (to)",JLPT N1
貧困,ひんこん,"poverty, lack",JLPT N1
品質,ひんしつ,quality,JLPT N1
貧弱,ひんじゃく,"poor, meager, insubstantial",JLPT N1
品種,ひんしゅ,"breed, type, variety",JLPT N1
ヒント,ヒント,hint,JLPT N1
頻繁,ひんぱん,frequency,JLPT N1
貧乏,びんぼう,"poverty, destitute, poor",JLPT N1
ファイト,ファイト,fight,JLPT N1
ファイル,ファイル,file; portfolio,JLPT N1
ファン,ファン,fan,JLPT N1
不意,ふい,"sudden, abrupt, unexpected",JLPT N1
フィルタ,フィルタ,filter,JLPT N1
封,ふう,seal,JLPT N1
封鎖,ふうさ,"blockade, freezing (funds)",JLPT N1
風車,ふうしゃ,windmill,JLPT N1
風習,ふうしゅう,custom,JLPT N1
風俗,ふうぞく,"manners, customs; sex industry",JLPT N1
ブーツ,ブーツ,boots,JLPT N1
風土,ふうど,"natural features, climate",JLPT N1
ブーム,ブーム,boom,JLPT N1
フォーム,フォーム,foam; form,JLPT N1
部下,ぶか,one's subordinate,JLPT N1
不可欠,ふかけつ,"indispensable, essential",JLPT N1
ぶかぶか,ぶかぶか,"too big, baggy",JLPT N1
不吉,ふきつ,"ominous, sinister, bad luck, ill omen",JLPT N1
不況,ふきょう,"recession, depression, slump",JLPT N1
布巾,ふきん,dish cloth,JLPT N1
複合,ふくごう,"composite, complex",JLPT N1
福祉,ふくし,"welfare, well-being",JLPT N1
覆面,ふくめん,"mask, veil, disguise",JLPT N1
膨れる,ふくれる,"to swell (out), to be inflated, to bulge",JLPT N1
不景気,ふけいき,"business recession, hard times, depression",JLPT N1
耽る,ふける,"to indulge in, to give oneself up to, to be absorbed in",JLPT N1
老ける,ふける,to age,JLPT N1
富豪,ふごう,"wealthy person, millionaire",JLPT N1
布告,ふこく,"edict, ordinance, proclamation",JLPT N1
ブザー,ブザー,buzzer,JLPT N1
負債,ふさい,"debt, liabilities",JLPT N1
不在,ふざい,absence,JLPT N1
ふさわしい,ふさわしい,appropriate,JLPT N1
不順,ふじゅん,"irregularity, unseasonableness",JLPT N1
負傷,ふしょう,"injury, wound",JLPT N1
侮辱,ぶじょく,"insult, contempt, slight",JLPT N1
不審,ふしん,"suspicious, doubt, infidelity",JLPT N1
不振,ふしん,"dullness, slump, stagnation",JLPT N1
武装,ぶそう,"arms, armament, armed",JLPT N1
札,ふだ,"token, label; ticket, card; charm, talisman",JLPT N1
負担,ふたん,burden; load,JLPT N1
不調,ふちょう,"bad condition, disorder, slump",JLPT N1
復活,ふっかつ,"revival (e.g., musical), restoration",JLPT N1
物議,ぶつぎ,public discussion (criticism),JLPT N1
復旧,ふっきゅう,"restoration, restitution, rehabilitation",JLPT N1
復興,ふっこう,"revival, renaissance, reconstruction",JLPT N1
物資,ぶっし,"goods, materials",JLPT N1
仏像,ぶつぞう,Buddhist image (statue),JLPT N1
物体,ぶったい,object,JLPT N1
沸騰,ふっとう,"boiling, seething",JLPT N1
不当,ふとう,"injustice, impropriety, unfair",JLPT N1
不動産,ふどうさん,real estate,JLPT N1
無難,ぶなん,"safety, security",JLPT N1
赴任,ふにん,(proceeding to) new appointment,JLPT N1
腐敗,ふはい,"decay, depravity",JLPT N1
不評,ふひょう,"bad reputation, disgrace, unpopularity",JLPT N1
不服,ふふく,"dissatisfaction, discontent, disapproval",JLPT N1
普遍,ふへん,"universality, ubiquity, omnipresence",JLPT N1
踏まえる,ふまえる,"to be based on, to have origin in",JLPT N1
踏み込む,ふみこむ,"to step into (someone else's territory, to break into, to raid",JLPT N1
不明,ふめい,"unknown, ambiguous",JLPT N1
部門,ぶもん,"class, group, category, department, field, branch",JLPT N1
扶養,ふよう,"support, maintenance",JLPT N1
ふらふら,ふらふら,"unsteady on one's feet, totter, dizzy",JLPT N1
ぶらぶら,ぶらぶら,"dangle heavily, sway to and fro, stroll idly",JLPT N1
振り返る,ふりかえる,"to turn head, to turn around, to look back",JLPT N1
振り出し,ふりだし,"outset, starting point, drawing or issuing (draft)",JLPT N1
不良,ふりょう,"badness, delinquent, failure",JLPT N1
浮力,ふりょく,buoyancy,JLPT N1
武力,ぶりょく,"armed might, military power, the sword, force",JLPT N1
ブル,ブル,bull,JLPT N1
震わせる,ふるわせる,"to be shaking, to be trembling",JLPT N1
無礼,ぶれい,"impolite, rude",JLPT N1
付録,ふろく,"appendix, supplement",JLPT N1
フロント,フロント,front,JLPT N1
憤慨,ふんがい,"indignation, resentment",JLPT N1
文化財,ぶんかざい,"cultural assets, cultural property",JLPT N1
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",JLPT N1
文語,ぶんご,"written language, literary language",JLPT N1
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",JLPT N1
分子,ぶんし,"numerator, molecule",JLPT N1
紛失,ふんしつ,losing something,JLPT N1
噴出,ふんしゅつ,"spewing, gushing, spouting",JLPT N1
文書,ぶんしょ,"document, writing",JLPT N1
紛争,ふんそう,"dispute, trouble, strife",JLPT N1
ふんだん,ふんだん,"plentiful, abundant, lavish",JLPT N1
分担,ぶんたん,"apportionment, sharing",JLPT N1
奮闘,ふんとう,"hard struggle, strenuous effort",JLPT N1
分配,ぶんぱい,"division, sharing",JLPT N1
分母,ぶんぼ,denominator,JLPT N1
粉末,ふんまつ,fine powder,JLPT N1
分離,ぶんり,"separation, detachment, segregation",JLPT N1
分裂,ぶんれつ,"split, division, break up",JLPT N1
ペア,ペア,"pair, pear",JLPT N1
兵器,へいき,"arms, weapons, ordinance",JLPT N1
閉口,へいこう,shut mouth,JLPT N1
閉鎖,へいさ,"closing, closure, shutdown",JLPT N1
兵士,へいし,soldier,JLPT N1
平常,へいじょう,"normal, usual",JLPT N1
平方,へいほう,"square (e.g., meter, square)",JLPT N1
並列,へいれつ,"arrangement, parallel, abreast",JLPT N1
ベース,ベース,"base, bass",JLPT N1
辟易,へきえき,"wince, shrink back, succumbing to, being frightened",JLPT N1
ぺこぺこ,ぺこぺこ,"fawn, be very hungry",JLPT N1
ベスト,ベスト,best; vest,JLPT N1
ベストセラー,ベストセラー,best-seller,JLPT N1
隔たる,へだたる,to be distant,JLPT N1
縁,へり,edge,JLPT N1
へりくだる,へりくだる,to deprecate oneself and praise the listener,JLPT N1
弁解,べんかい,"explanation, justification, excuse",JLPT N1
変革,へんかく,"change, reform(the) Reformation",JLPT N1
返還,へんかん,"return, restoration",JLPT N1
便宜,べんぎ,"convenience, accommodation",JLPT N1
偏見,へんけん,"prejudice, narrow view",JLPT N1
弁護,べんご,"defense, pleading, advocacy",JLPT N1
返済,へんさい,repayment,JLPT N1
弁償,べんしょう,"compensation, reparation, reimbursement",JLPT N1
変遷,へんせん,"change, transition, vicissitudes",JLPT N1
返答,へんとう,reply,JLPT N1
変動,へんどう,"change, fluctuation",JLPT N1
弁論,べんろん,"discussion, debate, argument",JLPT N1
穂,ほ,"ear (of plant), head (of plant)",JLPT N1
保育,ほいく,"nursing, nurturing, rearing",JLPT N1
ボイコット,ボイコット,boycott,JLPT N1
ポイント,ポイント,point,JLPT N1
法案,ほうあん,bill (law),JLPT N1
防衛,ぼうえい,"defense, protection, self-defense",JLPT N1
防火,ぼうか,"fire prevention, fire fighting, fire proof",JLPT N1
崩壊,ほうかい,"collapse, decay (physics), crumbling",JLPT N1
妨害,ぼうがい,"disturbance, obstruction, interference",JLPT N1
法学,ほうがく,"law, jurisprudence",JLPT N1
封建,ほうけん,feudalistic,JLPT N1
豊作,ほうさく,"abundant harvest, bumper crop",JLPT N1
方策,ほうさく,"plan, policy",JLPT N1
奉仕,ほうし,"attendance, service",JLPT N1
方式,ほうしき,"form, method, system",JLPT N1
放射,ほうしゃ,"radiation, emission",JLPT N1
放射能,ほうしゃのう,radioactivity,JLPT N1
報酬,ほうしゅう,"remuneration, recompense, reward",JLPT N1
放出,ほうしゅつ,"release, emit",JLPT N1
報じる,ほうじる,"to inform, to report",JLPT N1
報ずる,ほうずる,"to inform, to report",JLPT N1
紡績,ぼうせき,spinning,JLPT N1
呆然,ぼうぜん,"dumbfounded, overcome with surprise",JLPT N1
放置,ほうち,"leave as is, leave alone, neglect",JLPT N1
膨張,ぼうちょう,"expansion, swelling, increase",JLPT N1
法廷,ほうてい,courtroom,JLPT N1
報道,ほうどう,"coverage, report",JLPT N1
冒頭,ぼうとう,"beginning, start, outset",JLPT N1
暴動,ぼうどう,"insurrection, riot, uprising",JLPT N1
褒美,ほうび,"reward, prize",JLPT N1
暴風,ぼうふう,"storm, windstorm, gale",JLPT N1
葬る,ほうむる,"to bury, to entomb",JLPT N1
放り込む,ほうりこむ,to throw into,JLPT N1
放り出す,ほうりだす,"to throw out, to give up, to abandon",JLPT N1
暴力,ぼうりょく,violence,JLPT N1
飽和,ほうわ,saturation,JLPT N1
ホース,ホース,hose,JLPT N1
ポーズ,ポーズ,pause,JLPT N1
ホール,ホール,hall; hole,JLPT N1
保温,ほおん,"retaining warmth, keeping heat in, heat insulation",JLPT N1
捕獲,ほかく,"capture, seizure",JLPT N1
保管,ほかん,"custody, safekeeping, storage",JLPT N1
補給,ほきゅう,"supply, supplying, replenishment",JLPT N1
補強,ほきょう,reinforcement,JLPT N1
募金,ぼきん,"fund-raising, collection of funds",JLPT N1
牧師,ぼくし,"pastor, minister, clergyman",JLPT N1
捕鯨,ほげい,whaling,JLPT N1
惚ける,ぼける,"to grow senile, to fade",JLPT N1
保険,ほけん,"insurance, guarantee",JLPT N1
母校,ぼこう,alma mater,JLPT N1
母国,ぼこく,one's home country (same as 自分の国 (じぶんのくに)),JLPT N1
誇る,ほこる,"to boast of, to be proud of",JLPT N1
綻びる,ほころびる,"to come apart at the seams, to smile broadly",JLPT N1
干し～,ほし～,dried ~,JLPT N1
ポジション,ポジション,position,JLPT N1
干し物,ほしもの,dried washing (clothes,JLPT N1
保守,ほしゅ,"conservative, maintaining",JLPT N1
補充,ほじゅう,"supplementation, replenishment, replenishing",JLPT N1
補助,ほじょ,"assistance, support, auxiliary",JLPT N1
舗装,ほそう,"pavement, road surface",JLPT N1
補足,ほそく,"supplement, complement",JLPT N1
墓地,ぼち,"cemetery, graveyard",JLPT N1
発作,ほっさ,"fit, attack",JLPT N1
没収,ぼっしゅう,forfeited,JLPT N1
発足,ほっそく,"starting, inauguration",JLPT N1
ポット,ポット,pot,JLPT N1
ほっぺた,ほっぺた,cheek,JLPT N1
ぼつぼつ,ぼつぼつ,"gradually, here and there, spots",JLPT N1
没落,ぼつらく,"ruin, fall, collapse",JLPT N1
解ける,ほどける,"to come untied, to come apart",JLPT N1
施す,ほどこす,"to give, to conduct, to perform",JLPT N1
ほとり,ほとり,vicinity of lake; river,JLPT N1
ぼやく,ぼやく,"to grumble, to complain",JLPT N1
ぼやける,ぼやける,"to become dim, to become blurred",JLPT N1
保養,ほよう,"health preservation, recuperation, recreation",JLPT N1
捕虜,ほりょ,prisoner of war,JLPT N1
ボルト,ボルト,volt; bolt,JLPT N1
滅びる,ほろびる,"to be ruined, to perish, to be destroyed",JLPT N1
滅ぼす,ほろぼす,"to destroy, to overthrow, to ruin",JLPT N1
本格,ほんかく,"propriety, full-scale",JLPT N1
本館,ほんかん,main building,JLPT N1
本気,ほんき,"seriousness, truth, sanctity",JLPT N1
本国,ほんごく,one's own country,JLPT N1
本質,ほんしつ,"essence, true nature, reality",JLPT N1
本体,ほんたい,"substance, body, trunk",JLPT N1
本音,ほんね,"(one's) real intention, motive",JLPT N1
本能,ほんのう,instinct,JLPT N1
本場,ほんば,"home, best place, genuine",JLPT N1
ポンプ,ポンプ,pump,JLPT N1
本文,ほんぶん,"text (of document), body (of letter)",JLPT N1
本名,ほんみょう,real name,JLPT N1
マーク,マーク,mark,JLPT N1
マイ～,マイ～,"my ~, one's own ~",JLPT N1
マイクロフォン,マイクロフォン,microphone,JLPT N1
埋蔵,まいぞう,"buried property, treasure trove",JLPT N1
舞う,まう,"to dance, to flutter about, to revolve",JLPT N1
真上,まうえ,"just above, right overhead",JLPT N1
前売,まえうり,"advance sale, booking",JLPT N1
前置き,まえおき,"preface, introduction",JLPT N1
任す,まかす,"to entrust, to leave to a person",JLPT N1
負かす,まかす,to defeat,JLPT N1
賄う,まかなう,"to give board to, to provide meals, to pay",JLPT N1
紛らわしい,まぎらわしい,"confusing, misleading, ambiguous",JLPT N1
紛れる,まぎれる,"to be diverted, to slip into",JLPT N1
真心,まごころ,"sincerity, devotion",JLPT N1
まごつく,まごつく,"to be confused, to be flustered",JLPT N1
誠,まこと,"truth, faith, fidelity",JLPT N1
誠に,まことに,"indeed, really (very polite), absolutely",JLPT N1
まさしく,まさしく,"surely, no doubt, evidently",JLPT N1
勝る,まさる,"to excel, to surpass, to out-rival",JLPT N1
～増し,～増し,~increase,JLPT N1
交える,まじえる,"to mix, to converse with, to cross (swords)",JLPT N1
真下,ました,"right under, directly below",JLPT N1
まして,まして,"still more, still less (with neg. verb), to say nothing of",JLPT N1
交わる,まじわる,"to cross, to intersect, to mingle with,",JLPT N1
麻酔,ますい,anesthesia,JLPT N1
またがる (うまを～),またがる (うまを～),to straddle,JLPT N1
待ち合わせ,まちあわせ,appointment,JLPT N1
待ち遠しい,まちどおしい,looking forward to,JLPT N1
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for",JLPT N1
まちまち,まちまち,"various, different",JLPT N1
末期,まっき,"deathbed, hour of death",JLPT N1
真っ二つ,まっぷたつ,in two equal parts,JLPT N1
まと,まと,"mark, target",JLPT N1
纏まり,まとまり,"conclusion, settlement, consistency",JLPT N1
纏め,まとめ,"settlement, conclusion",JLPT N1
免れる,まぬがれる,"to escape from, to be exempted",JLPT N1
招き,まねき,invitation,JLPT N1
瞬き,まばたき,"wink, twinkling (of stars), flicker (of light)",JLPT N1
麻痺,まひ,"paralysis, palsy, numbness",JLPT N1
～まみれ,～まみれ,"covered with (by, in) ~",JLPT N1
眉,まゆ,eyebrow,JLPT N1
鞠,まり,ball,JLPT N1
丸ごと,まるごと,"in its entirety, whole, wholly",JLPT N1
まるっきり,まるっきり,"completely, perfectly, just as if",JLPT N1
丸々,まるまる,completely,JLPT N1
丸める,まるめる,"to make round, to round off, to roll up",JLPT N1
満月,まんげつ,full moon,JLPT N1
満場,まんじょう,"unanimous, whole audience",JLPT N1
真ん前,まんまえ,"right in front, under the nose",JLPT N1
真ん丸い,まんまるい,perfectly circular,JLPT N1
真ん円い,まんまるい,perfectly round,JLPT N1
～味,～み,~ cast (sense of taste),JLPT N1
見合い,みあい,formal marriage interview,JLPT N1
見合わせる,みあわせる,to exchange glances; to postpone,JLPT N1
見落とす,みおとす,"to overlook, to fail to notice",JLPT N1
未開,みかい,"savage land, backward region, uncivilized",JLPT N1
味覚,みかく,"taste, palate, sense of taste",JLPT N1
幹,みき,(tree) trunk,JLPT N1
見苦しい,みぐるしい,"unsightly, ugly",JLPT N1
見込み,みこみ,"prospects, expectation, hope",JLPT N1
未婚,みこん,unmarried,JLPT N1
未熟,みじゅく,"inexperience, unskilled, immature",JLPT N1
微塵,みじん,"particle, atom",JLPT N1
水気,みずけ,"moisture, dampness",JLPT N1
ミスプリント,ミスプリント,misprint,JLPT N1
みすぼらしい,みすぼらしい,"shabby, seedy",JLPT N1
ミセス,ミセス,Mrs.,JLPT N1
見せびらかす,みせびらかす,"to show off, to flaunt",JLPT N1
見せ物,みせもの,"show, exhibition",JLPT N1
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",JLPT N1
乱す,みだす,"to throw out of order, to disarrange, to disturb",JLPT N1
乱れる,みだれる,"to get confused, to be disordered, to be disturbed",JLPT N1
未知,みち,not yet known,JLPT N1
身近,みぢか,"near oneself, close to one, familiar",JLPT N1
導く,みちびく,"to be guided, to be shown",JLPT N1
密集,みっしゅう,"crowd, close formation, dense",JLPT N1
密接,みっせつ,"connected, close, intimate",JLPT N1
密度,みつど,density,JLPT N1
見積もり,みつもり,"estimation, quotation",JLPT N1
未定,みてい,"not yet fixed, undecided, pending",JLPT N1
見通し,みとおし,"perspective, unobstructed view, prospect",JLPT N1
見なす,みなす,"to consider as, to regard",JLPT N1
源,みなもと,"source, origin",JLPT N1
見習う,みならう,to follow another's example,JLPT N1
身なり,みなり,personal appearance,JLPT N1
峰,みね,"peak, ridge",JLPT N1
身の上,みのうえ,"one's future, one's welfare, one's personal history",JLPT N1
見逃す,みのがす,"to miss, to overlook, to leave at large",JLPT N1
身の回り,みのまわり,"one's personal appearance, personal belongings",JLPT N1
見計らう,みはからう,to choose at one's own discretion,JLPT N1
見晴らし,みはらし,view,JLPT N1
身振り,みぶり,gesture,JLPT N1
脈,みゃく,pulse,JLPT N1
ミュージック,ミュージック,music,JLPT N1
未練,みれん,"lingering affection, attachment, regret(s)",JLPT N1
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of",JLPT N1
民宿,みんしゅく,private house providing lodging and meals to tourists,JLPT N1
民族,みんぞく,"people, race",JLPT N1
民俗,みんぞく,folk customs,JLPT N1
無意味,むいみ,"nonsense, no meaning",JLPT N1
ムード,ムード,mood,JLPT N1
無口,むくち,reticence,JLPT N1
婿,むこ,son-in-law,JLPT N1
無効,むこう,"invalid, no effect, unavailable",JLPT N1
無言,むごん,silence,JLPT N1
無邪気,むじゃき,"innocence, simple-mindedness",JLPT N1
むしる,むしる,"to pluck, to pick, to tear",JLPT N1
結び,むすび,"ending, conclusion, union",JLPT N1
結び付き,むすびつき,"connection, relation",JLPT N1
結び付く,むすびつく,"to be connected or related, to join together",JLPT N1
結び付ける,むすびつける,"to combine, to join, to tie on, to attach with a knot",JLPT N1
無線,むせん,"wireless, radio",JLPT N1
無駄遣い,むだづかい,"waste money on, squander money on",JLPT N1
無断,むだん,"without permission, without notice",JLPT N1
無知,むち,ignorance,JLPT N1
無茶,むちゃ,"absurd, unreasonable",JLPT N1
無茶苦茶,むちゃくちゃ,"confused, jumbled, mixed up, unreasonable",JLPT N1
空しい,むなしい,"vacant, futile, vain",JLPT N1
